,Type,Gender,FurLength,agecat,breedcat,namecat,descriptcat,colorcat,colorcat2,healthcat,statecat,MaturitySizecat,Photocat,quantitycat,paidcat,Target
38,1,1,1,3,0,1,0,0,1,0,0,1,3,0,0,1
39,1,1,2,3,0,0,0,0,0,1,1,1,1,0,0,1
40,2,2,2,1,0,0,1,0,0,0,1,1,5,0,0,1
41,2,3,1,0,2,1,0,2,1,0,1,0,1,1,0,1
42,2,2,2,4,2,0,0,0,0,0,1,1,1,1,0,1
43,1,1,1,3,0,1,0,0,0,1,0,1,5,0,0,1
44,1,1,2,3,0,0,0,1,1,0,0,1,2,0,0,0
45,1,1,1,2,0,1,1,1,1,0,1,1,5,1,0,0
46,2,1,2,3,0,1,0,1,0,1,1,0,5,0,0,1
47,1,2,1,4,0,0,0,1,1,1,1,1,3,0,0,0
48,1,3,1,0,0,0,0,1,1,0,1,1,3,1,0,1
49,2,1,2,4,0,0,0,2,1,1,1,0,3,0,0,1
50,1,2,2,0,0,1,0,0,1,0,1,1,5,1,0,1
51,2,1,1,3,2,0,0,2,1,1,0,1,1,0,1,0
52,1,1,1,1,0,0,0,1,1,1,1,1,3,0,0,1
53,1,2,2,3,0,0,0,0,1,1,1,1,4,1,0,0
54,1,2,1,2,0,0,0,1,1,0,1,0,0,0,0,1
55,2,3,2,2,0,1,1,2,0,1,0,0,5,1,0,1
56,2,1,1,3,2,1,1,1,1,0,1,1,3,0,1,0
57,1,2,2,4,0,1,0,0,0,1,1,1,2,0,0,1
58,1,1,2,2,0,1,0,0,0,0,1,0,3,0,0,1
59,2,3,1,1,2,1,0,2,1,0,0,0,1,1,0,0
60,2,2,1,0,2,0,0,0,0,0,1,1,4,0,0,1
61,1,1,1,3,0,0,0,1,1,1,0,1,2,0,0,0
62,1,2,1,4,0,1,0,1,1,0,1,1,2,0,0,0
63,1,1,2,1,0,0,0,1,1,0,0,1,4,0,0,1
64,1,3,2,1,0,0,0,2,1,1,1,1,5,1,0,1
65,1,2,2,4,2,0,0,1,1,1,1,1,4,0,0,1
66,2,2,1,2,2,0,0,0,1,0,0,1,1,0,0,0
67,2,1,1,2,2,0,0,1,1,0,0,0,1,1,0,1
68,2,2,1,3,2,0,0,1,1,0,0,1,1,0,0,1
69,1,1,2,4,0,0,0,2,1,1,0,1,3,0,0,0
70,1,2,1,4,0,0,0,1,1,1,1,1,1,1,0,0
71,1,2,2,0,0,0,0,1,1,0,1,1,1,0,0,1
72,1,1,1,1,2,0,0,2,1,1,0,0,4,0,0,1
73,1,1,1,1,0,0,0,1,1,1,1,0,3,0,0,0
74,1,3,2,0,2,0,0,2,1,0,0,1,4,1,1,1
75,1,2,1,1,0,0,0,1,1,0,0,1,1,0,0,1
76,1,2,1,1,0,1,0,0,1,1,1,0,3,1,0,0
77,1,2,1,3,0,0,0,0,1,1,1,1,3,0,0,1
78,1,1,2,1,0,0,0,0,1,1,1,1,4,0,0,1
79,1,2,1,0,0,0,0,1,1,1,1,1,1,0,0,1
80,1,2,1,1,0,0,0,1,1,1,0,1,1,0,0,0
81,1,1,2,2,2,0,0,1,1,1,1,0,2,0,1,1
82,1,1,2,2,0,1,0,1,1,0,0,1,1,0,0,1
83,1,1,2,2,0,0,0,0,0,0,1,1,3,0,0,1
84,2,2,2,3,0,0,0,1,0,0,1,1,3,0,1,1
85,1,2,2,0,0,0,0,1,1,0,1,1,3,1,0,1
86,2,2,2,4,2,0,0,1,1,0,1,1,2,0,0,0
87,1,1,2,1,0,1,0,1,1,0,1,0,3,0,0,1
88,1,2,2,3,0,0,1,0,0,1,0,1,5,0,0,1
89,1,1,1,1,0,0,0,1,1,1,1,1,5,0,0,1
90,1,1,1,0,0,1,1,0,1,0,0,1,4,0,0,1
91,2,3,2,0,2,1,0,2,1,0,1,0,3,1,0,0
92,1,3,1,0,0,0,0,1,1,0,1,1,0,1,0,0
93,2,1,1,4,2,1,0,0,0,0,0,0,5,0,0,1
94,2,2,1,4,2,0,0,1,1,0,1,1,1,0,0,0
95,1,1,1,1,0,0,0,1,1,0,0,1,2,0,0,1
96,2,2,2,4,2,0,0,1,1,1,0,0,3,0,0,1
97,1,2,2,2,2,1,0,0,1,0,0,0,3,0,0,1
98,1,1,1,4,0,0,0,1,1,0,0,1,3,0,0,1
99,2,1,2,2,0,0,0,1,1,0,1,1,1,0,0,1
100,2,3,2,0,0,0,0,1,0,0,0,0,1,1,0,1
101,1,2,2,4,0,0,0,2,1,0,1,1,2,0,0,1
102,1,1,2,4,2,0,0,0,0,1,0,1,3,0,0,0
103,1,2,2,0,0,0,0,2,1,1,1,1,1,0,0,1
104,2,2,1,2,2,0,0,1,1,1,1,0,5,0,0,1
105,2,1,2,1,0,0,0,0,0,0,0,0,2,0,0,1
106,2,3,1,0,2,1,0,1,1,1,0,1,3,1,1,1
107,1,2,1,1,0,0,0,1,1,0,0,1,2,0,0,1
108,2,2,1,1,2,0,0,1,0,0,0,1,2,0,0,1
109,1,2,1,2,0,1,0,0,1,1,0,1,3,0,0,0
110,1,2,1,1,0,0,1,2,1,0,0,0,4,1,0,1
111,2,2,2,3,0,0,0,2,0,1,0,1,1,1,0,0
112,2,2,1,2,2,0,1,1,1,1,0,1,4,0,0,1
113,1,1,1,4,0,0,1,2,1,0,0,0,3,0,0,0
114,1,2,1,2,0,1,0,0,1,0,1,1,3,0,0,0
115,2,3,2,0,0,0,0,2,1,0,1,0,2,1,0,0
116,1,2,2,4,2,0,0,2,1,1,1,0,3,0,0,1
117,2,2,1,2,2,0,0,2,1,0,1,0,3,0,0,0
118,2,1,2,4,2,0,0,0,0,1,1,1,0,0,0,0
119,2,2,1,0,2,0,0,2,1,0,1,1,3,0,0,1
120,1,3,2,2,0,0,0,2,1,1,1,1,3,1,1,1
121,1,1,1,4,2,1,1,1,1,1,1,0,3,0,0,1
122,1,1,2,3,2,1,1,2,1,1,0,1,1,0,1,1
123,2,3,1,0,2,1,0,2,1,0,0,0,3,1,0,1
124,1,3,1,0,0,1,0,2,1,0,1,0,3,1,0,1
125,2,1,2,0,0,1,0,1,1,0,1,0,1,0,0,1
126,1,1,1,3,2,1,0,1,0,1,0,1,5,0,0,1
127,1,2,2,4,0,1,0,1,1,0,0,1,3,0,0,1
128,1,1,2,2,0,0,0,0,1,1,1,1,3,0,0,1
129,1,2,1,2,0,0,0,0,1,0,0,0,1,1,0,0
130,1,2,1,2,0,0,1,0,1,0,0,1,4,0,0,0
131,2,3,2,2,2,1,0,1,1,0,1,1,3,1,0,1
132,2,2,2,0,0,1,0,1,1,0,0,0,3,1,0,1
133,2,1,1,3,2,1,0,1,1,1,1,1,5,0,1,1
134,2,3,1,1,0,1,0,1,1,0,0,1,2,1,0,0
135,1,3,1,4,0,0,1,2,1,1,1,1,4,1,0,0
136,1,3,1,2,0,0,0,1,1,1,1,0,3,1,0,1
137,2,1,2,3,0,1,0,0,1,0,1,1,1,0,0,1
138,1,2,2,2,0,0,0,2,1,1,1,1,5,0,0,1
139,1,1,1,1,0,1,0,1,1,0,1,1,3,0,0,1
140,2,2,1,3,0,0,0,2,1,1,1,1,5,0,0,1
141,2,1,2,3,0,0,0,0,0,0,0,1,4,0,1,1
142,2,2,2,1,0,0,1,1,0,1,0,1,3,1,0,1
143,1,2,1,4,2,0,0,1,1,1,0,1,2,0,0,1
144,2,3,2,2,0,1,0,2,1,0,0,1,4,1,0,1
145,1,1,1,4,2,0,0,0,1,1,1,1,1,1,0,1
146,1,2,1,3,0,0,0,0,1,1,1,1,2,0,0,1
147,2,2,1,4,2,0,0,2,1,0,1,0,3,0,0,1
148,2,3,1,1,2,0,0,2,0,0,0,1,2,1,0,1
149,1,1,2,4,0,1,0,1,1,1,1,1,2,0,0,1
150,1,2,1,2,0,0,0,1,1,1,0,1,2,0,0,1
151,2,2,2,3,2,0,0,1,0,0,1,1,2,0,0,1
152,2,1,2,3,2,0,0,1,1,0,1,0,2,0,0,1
153,2,2,1,2,2,0,0,1,0,1,0,1,3,0,0,1
154,1,3,2,0,0,0,0,2,1,0,1,1,5,1,0,0
155,1,2,2,4,2,0,0,1,1,0,0,0,3,0,0,1
156,1,2,1,3,0,0,0,1,0,0,1,1,1,0,0,0
157,1,2,2,1,0,0,0,1,1,1,0,1,1,0,1,0
158,1,1,1,4,2,0,0,0,1,1,0,1,1,0,0,1
159,2,3,2,0,0,0,1,2,1,0,0,1,5,1,0,1
160,2,2,1,0,2,0,0,1,0,0,0,0,3,0,0,1
161,1,2,2,0,0,0,0,1,1,0,0,1,4,1,0,1
162,1,2,1,1,0,0,0,0,1,1,1,1,3,0,0,1
163,1,3,1,1,0,0,0,2,1,1,1,1,3,1,1,1
164,1,3,2,1,0,0,0,0,1,0,1,1,4,1,0,0
165,2,3,2,4,2,0,0,2,1,1,1,1,0,1,0,0
166,1,3,1,2,0,1,0,2,1,0,0,1,1,1,0,0
167,1,2,2,1,0,0,0,1,1,1,1,1,3,0,0,1
168,1,2,1,0,0,1,1,2,1,0,0,0,2,0,0,1
169,2,2,1,1,2,0,0,1,1,0,1,1,3,0,0,1
170,2,1,1,1,2,0,0,1,1,0,0,0,1,0,0,1
171,1,2,1,1,0,0,0,1,1,1,1,1,5,0,1,1
172,2,1,1,2,2,0,0,0,0,0,0,1,3,0,0,0
173,1,1,2,4,0,1,0,0,1,1,0,1,1,0,1,0
174,1,3,1,1,0,0,0,2,1,0,0,1,4,1,0,1
175,2,1,1,4,0,0,0,2,1,1,1,0,3,0,1,1
176,2,1,1,0,2,0,0,1,1,0,1,1,1,0,0,1
177,2,2,2,3,0,0,0,1,1,0,1,1,3,0,1,1
178,1,1,1,3,0,0,0,1,1,0,1,1,3,0,0,1
179,1,2,1,2,0,0,1,0,0,1,1,0,2,0,0,0
180,1,1,1,2,0,0,0,1,1,1,1,1,3,0,0,1
181,2,1,1,4,2,0,1,1,1,1,1,1,5,0,0,0
182,2,2,1,3,2,0,0,2,1,0,0,1,3,1,0,0
183,1,2,2,3,0,0,0,1,1,0,0,1,2,0,0,0
184,2,1,1,3,2,0,0,1,0,1,0,1,2,1,0,0
185,1,1,1,4,2,0,0,2,1,1,0,1,0,0,0,1
186,1,1,2,4,0,1,0,0,0,0,1,1,3,0,0,0
187,1,1,2,1,0,0,0,0,0,0,1,1,1,0,0,1
188,2,2,1,2,0,0,0,1,1,0,0,1,1,1,0,0
189,1,2,2,3,0,0,1,0,0,1,1,1,4,0,0,1
190,1,1,1,3,0,0,0,1,1,0,1,0,1,0,1,0
191,1,1,1,1,0,0,0,1,1,0,0,1,3,0,0,1
192,1,2,1,2,0,1,0,1,1,0,1,0,2,1,0,0
193,1,2,1,4,0,0,0,1,1,1,1,1,5,0,0,0
194,1,2,2,0,0,0,0,0,1,0,1,1,3,0,0,1
195,1,2,1,0,0,0,0,0,1,0,0,1,1,0,0,1
196,1,1,1,2,0,0,0,0,0,1,1,0,5,1,0,1
197,2,1,1,3,2,1,1,1,1,1,0,0,3,0,0,0
198,1,2,1,4,2,1,0,1,0,1,0,0,3,0,0,1
199,2,1,1,1,2,1,0,2,0,1,1,1,4,0,0,1
200,2,1,2,1,0,0,0,0,0,0,0,0,5,0,0,0
201,1,1,1,3,2,1,0,0,1,1,1,1,5,0,0,1
202,2,2,1,4,2,0,0,1,1,0,1,1,4,0,0,0
203,1,1,1,2,0,0,0,1,1,1,1,1,3,0,0,1
204,1,1,1,3,0,1,0,1,1,1,1,1,1,0,0,0
205,2,1,1,2,2,0,1,1,1,1,0,0,5,0,0,1
206,1,2,2,1,0,1,0,1,1,0,1,1,1,0,0,0
207,2,2,1,3,2,0,0,0,0,1,0,1,5,0,0,1
208,1,2,1,1,0,0,0,2,0,0,1,1,4,0,0,1
209,1,1,1,1,0,1,1,2,1,0,1,1,2,0,0,1
210,2,2,1,2,2,0,0,2,1,0,0,0,5,0,0,1
211,1,1,2,4,0,0,0,2,1,1,1,1,4,0,0,1
212,2,2,1,1,2,1,0,2,1,0,1,1,5,1,1,0
213,2,2,1,3,2,0,0,2,1,1,0,1,2,0,0,0
214,2,2,1,1,2,0,0,2,1,0,1,0,4,0,0,1
215,2,3,1,0,0,1,0,1,1,0,1,1,1,1,0,1
216,1,3,1,1,0,0,0,1,0,1,1,0,5,1,0,1
217,2,2,1,3,2,0,0,1,0,0,1,1,4,0,0,0
218,1,2,1,2,0,0,0,1,1,0,1,0,2,0,0,1
219,1,2,2,0,0,0,0,0,1,0,1,1,3,0,0,1
220,1,2,1,1,0,0,0,2,1,0,0,0,4,1,0,1
221,2,1,2,2,0,0,0,1,0,0,1,1,3,0,1,1
222,1,2,1,4,0,0,0,0,1,1,1,1,3,0,1,0
223,2,2,1,3,2,0,0,2,1,1,1,1,4,0,1,0
224,1,2,1,4,0,0,0,2,1,1,1,1,4,0,0,0
225,2,2,2,2,2,1,0,1,1,0,1,0,3,0,1,1
226,1,1,1,2,0,0,0,0,0,0,0,1,5,0,0,1
227,1,1,1,3,0,0,0,2,1,1,1,1,1,0,0,1
228,2,2,1,0,2,0,0,1,0,0,1,1,5,0,0,1
229,1,1,1,3,0,1,0,1,1,0,1,1,0,0,0,0
230,1,3,1,0,0,1,1,0,1,0,1,1,4,1,0,1
231,2,1,1,3,2,0,0,1,1,0,0,1,2,0,0,1
232,1,2,2,2,0,0,0,1,1,0,0,1,1,0,1,0
233,2,2,1,0,2,1,0,2,1,0,1,1,0,0,0,0
234,1,2,1,4,0,0,0,0,1,1,1,1,1,0,0,1
235,1,2,1,2,2,0,0,0,1,0,0,0,3,0,0,1
236,1,1,2,1,0,1,0,2,1,1,1,1,1,0,0,1
237,2,1,1,2,2,1,0,1,0,1,0,0,4,0,0,1
238,1,2,1,4,2,0,0,1,0,1,1,1,3,0,0,1
239,1,2,2,4,2,1,0,0,1,1,1,0,3,0,0,1
240,1,3,2,0,2,0,0,2,1,0,1,1,2,1,0,1
241,1,1,1,2,0,1,0,0,1,0,1,1,2,0,0,1
242,2,2,1,2,0,0,0,2,1,0,1,1,4,1,0,1
243,2,2,2,2,0,1,0,0,0,0,0,1,3,0,0,1
244,2,2,2,4,0,0,0,1,1,1,1,1,3,0,0,1
245,2,1,1,0,2,1,0,1,1,0,0,0,1,0,0,1
246,1,2,2,3,2,1,0,0,1,1,1,1,5,0,0,1
247,1,2,2,1,0,1,0,1,1,0,1,1,5,0,0,1
248,2,3,2,0,2,0,0,1,1,0,0,1,3,1,0,1
249,1,2,1,1,0,0,0,1,1,1,1,1,5,0,0,1
250,1,2,1,4,0,1,0,0,1,1,1,1,1,0,0,1
251,1,2,1,1,0,0,0,1,1,1,1,1,3,0,0,0
252,1,2,2,1,0,0,0,1,1,0,1,1,3,0,0,1
253,2,2,1,1,2,0,0,1,1,0,1,1,3,0,0,1
254,2,1,1,3,0,0,1,0,0,1,1,1,2,0,0,1
255,2,2,2,1,0,1,0,2,1,1,1,1,3,0,0,1
256,2,2,1,3,0,0,0,2,1,1,0,0,3,0,0,1
257,2,2,1,3,0,1,0,0,0,0,0,1,3,0,0,1
258,1,2,1,1,0,0,0,1,1,0,0,1,3,1,0,1
259,1,2,1,4,0,0,0,1,1,1,0,1,5,0,0,1
260,1,1,2,4,0,0,0,0,1,1,0,0,3,0,0,1
261,2,1,1,2,2,0,0,1,1,0,0,0,5,1,0,1
262,2,1,1,1,2,0,0,0,0,0,0,1,2,0,0,1
263,1,3,1,0,0,0,0,2,1,0,0,0,4,1,1,0
264,2,1,2,3,2,0,0,2,1,1,1,1,1,0,0,0
265,2,2,1,3,0,0,0,1,1,0,1,1,1,0,0,0
266,1,2,1,0,0,0,0,1,1,0,1,1,4,0,0,1
267,2,1,1,3,2,0,1,2,1,1,1,1,0,1,0,0
268,1,2,2,1,0,0,0,2,1,1,1,1,2,0,0,1
269,2,3,2,1,0,1,0,1,0,0,1,0,5,1,0,1
270,2,2,1,1,2,1,0,2,1,0,0,1,3,1,0,1
271,1,2,1,2,0,0,0,0,1,0,1,1,2,0,0,1
272,1,1,2,2,0,1,0,1,0,0,0,1,3,0,0,1
273,2,2,1,3,2,1,1,0,0,1,0,0,5,0,1,0
274,2,1,1,2,2,1,0,1,1,0,0,0,1,0,0,1
275,1,3,1,4,0,0,1,1,1,0,1,1,2,1,0,1
276,1,1,1,2,0,0,0,0,1,0,0,0,3,0,0,1
277,1,2,1,4,0,0,0,0,1,0,1,1,2,0,1,0
278,1,1,2,0,0,0,0,1,1,0,1,1,1,0,0,1
279,1,2,2,1,0,0,0,1,1,0,0,1,5,0,1,1
280,1,1,2,1,0,0,0,0,0,1,1,1,1,0,0,1
281,1,2,1,3,0,0,0,0,1,1,0,1,1,0,0,1
282,2,1,2,2,0,1,0,1,1,0,1,0,3,0,1,1
283,1,2,1,0,0,0,0,0,1,0,0,1,2,0,0,1
284,1,2,1,0,0,1,0,1,1,1,1,1,5,0,0,1
285,1,1,1,4,2,1,0,2,1,1,1,1,4,0,0,1
286,1,2,1,1,0,0,1,1,1,1,1,1,3,0,0,1
287,1,2,2,2,0,0,0,1,1,1,1,1,3,0,0,1
288,1,2,2,4,2,0,0,1,0,0,1,1,5,0,0,1
289,2,2,2,0,0,1,0,2,1,0,1,1,5,0,0,1
290,2,2,2,3,2,1,0,1,1,0,1,1,3,0,0,0
291,2,2,2,3,0,0,0,1,1,0,0,1,3,0,0,1
292,2,1,2,2,2,0,0,0,1,0,1,1,3,0,0,1
293,1,2,2,1,0,1,0,1,1,1,1,1,3,0,0,1
294,1,2,1,3,0,0,0,2,1,1,0,1,1,0,0,1
295,2,1,2,4,0,1,0,2,1,0,1,0,3,0,0,1
296,1,2,1,1,0,1,0,1,1,1,0,1,5,0,0,1
297,1,1,2,3,0,0,0,1,1,1,1,1,1,0,0,1
298,2,1,1,0,2,1,1,1,1,0,1,1,5,0,0,1
299,1,2,2,1,0,0,1,1,1,1,0,1,4,1,0,0
300,1,2,1,0,0,1,0,0,1,0,0,1,1,0,0,1
301,2,1,2,4,0,1,0,0,1,1,0,0,4,0,0,1
302,1,2,2,4,0,0,0,1,1,1,1,1,5,0,1,0
303,1,2,1,1,0,0,0,2,1,0,0,1,2,1,0,1
304,1,1,2,3,0,0,0,2,1,1,1,1,0,0,0,0
305,2,1,1,2,2,0,0,2,1,0,1,1,3,0,0,0
306,1,2,2,1,0,0,0,1,1,1,1,1,3,0,0,1
307,2,1,1,1,0,1,0,0,0,1,1,0,4,0,0,1
308,1,2,2,0,0,0,0,0,1,0,0,1,3,1,0,1
309,1,2,1,0,0,0,0,2,1,0,1,0,1,0,0,0
310,1,2,1,3,2,0,0,2,1,0,1,1,1,0,1,1
311,2,2,2,4,0,0,0,0,1,1,0,1,5,0,0,0
312,2,2,2,4,2,1,0,2,1,1,0,1,3,0,0,0
313,1,2,2,4,2,0,0,0,0,1,0,1,2,0,0,1
314,1,1,1,3,0,0,0,0,0,1,0,1,2,0,0,0
315,1,2,1,3,0,1,0,0,0,0,0,1,2,0,0,0
316,1,2,1,1,0,0,1,1,1,0,1,1,3,0,0,0
317,2,1,2,1,0,0,0,1,1,0,0,0,3,0,0,0
318,1,1,1,2,0,1,0,0,1,0,1,1,2,0,0,0
319,1,2,1,2,0,1,0,1,1,0,0,1,2,0,0,1
320,2,3,1,0,2,1,1,2,1,0,1,1,5,1,0,0
321,1,2,2,4,2,0,0,1,1,0,1,0,1,0,0,1
322,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1
323,1,3,1,1,0,0,0,2,1,0,1,1,4,1,0,0
324,2,1,2,3,0,1,0,1,1,1,1,1,2,0,0,1
325,1,2,2,0,0,0,0,1,1,0,1,1,1,0,0,1
326,2,1,1,1,2,1,0,0,0,0,0,0,4,1,0,1
327,2,3,1,1,2,0,0,0,0,0,0,1,3,1,0,1
328,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1
329,1,2,1,4,0,0,0,0,0,0,0,0,2,0,0,0
330,1,2,1,2,0,0,0,0,1,1,1,1,5,0,1,0
331,2,3,1,1,2,0,0,2,1,0,0,1,5,1,0,0
332,1,1,1,1,0,0,0,2,1,0,1,1,5,0,0,1
333,2,1,2,3,0,0,0,0,1,0,1,0,1,0,0,0
334,1,2,2,3,0,0,0,0,1,0,0,1,1,0,0,0
335,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1
336,2,2,1,3,2,1,0,2,1,1,1,1,5,0,0,1
337,1,1,2,4,2,0,0,1,1,0,1,1,2,0,0,1
338,1,2,2,4,2,0,0,2,1,1,1,1,3,0,0,1
339,1,2,2,2,0,0,0,1,1,0,1,1,3,0,0,1
340,1,2,1,1,0,0,0,2,1,1,1,1,5,0,0,1
341,1,2,2,2,0,0,0,2,1,1,1,1,3,0,0,1
342,1,1,1,4,2,0,0,0,0,1,0,0,1,0,0,1
343,2,3,1,2,2,1,0,2,1,0,0,0,4,1,1,1
344,1,2,1,1,0,0,0,1,1,1,1,1,5,0,0,1
345,1,1,2,4,2,0,0,0,1,0,1,0,3,0,0,1
346,2,1,2,2,0,0,0,1,1,0,1,1,4,0,0,1
347,2,2,1,2,2,0,0,2,1,0,1,0,3,0,0,1
348,1,3,1,1,0,1,0,1,1,0,1,1,2,1,0,1
349,1,1,1,0,0,1,0,1,1,0,0,1,4,0,0,1
350,1,1,1,4,2,0,0,1,1,1,0,1,1,0,0,1
351,1,2,2,1,0,0,0,0,1,1,1,1,1,0,0,1
352,1,2,2,2,0,1,0,1,1,1,1,1,3,0,0,0
353,2,3,2,2,0,1,1,2,1,1,0,0,5,1,0,1
354,2,2,1,1,2,1,0,2,1,0,0,1,1,0,0,1
355,1,2,1,2,0,1,0,0,0,1,0,1,5,0,0,0
356,1,2,2,1,0,1,0,1,1,0,0,1,1,0,0,1
357,2,2,2,0,0,0,0,0,0,0,0,0,5,0,0,1
358,1,2,1,4,0,0,0,0,1,1,1,1,3,0,0,0
359,2,3,2,0,0,1,0,1,1,0,1,0,1,1,0,0
360,2,1,1,2,2,0,0,0,0,1,1,1,0,0,1,1
361,2,1,2,3,0,0,0,1,0,1,1,1,4,0,1,1
362,2,3,2,3,0,0,0,2,0,0,1,0,5,1,0,1
363,1,1,1,1,0,0,0,2,1,1,1,1,5,0,0,1
364,1,2,1,4,0,1,0,0,1,0,0,1,5,0,0,1
365,2,1,1,3,2,0,0,1,1,0,0,1,3,0,0,0
366,1,2,2,1,0,0,0,0,1,0,1,1,3,0,0,1
367,1,1,2,4,2,0,0,0,1,1,0,0,0,0,0,1
368,1,1,1,1,0,1,0,0,1,0,0,1,3,0,1,1
369,2,2,1,2,2,0,0,1,0,0,0,1,3,0,0,1
370,2,3,1,0,2,0,0,2,1,0,0,1,3,1,0,1
371,1,1,2,4,0,0,0,0,0,1,1,1,1,0,0,0
372,2,1,1,0,2,1,0,1,1,0,0,0,1,0,0,0
373,2,1,2,3,0,0,0,1,1,1,1,1,5,0,0,0
374,2,2,1,2,2,1,0,0,1,0,0,0,3,0,0,1
375,1,1,2,0,0,1,0,0,1,0,1,1,1,0,0,1
376,2,1,1,0,2,1,1,1,1,0,0,1,3,0,0,1
377,1,3,1,1,0,0,0,2,1,0,0,0,1,1,0,1
378,1,1,1,4,0,1,0,0,1,0,1,1,1,0,0,0
379,1,3,1,0,0,0,0,2,1,0,0,1,1,1,0,0
380,2,2,1,1,0,0,0,1,0,0,0,0,4,0,0,1
381,1,1,1,0,2,0,0,1,1,0,1,1,5,0,0,1
382,1,3,2,4,2,0,1,2,1,0,0,0,4,1,1,1
383,2,3,1,0,2,1,0,2,1,0,1,0,0,1,0,1
384,2,2,1,2,2,0,0,2,0,1,1,1,1,0,1,0
385,1,2,2,3,2,0,0,0,1,1,1,0,1,0,0,1
386,1,1,1,2,0,1,1,1,1,1,1,1,1,0,0,0
387,1,2,1,0,0,1,0,1,1,1,1,1,5,0,0,1
388,2,2,1,2,2,0,0,0,0,0,0,0,3,0,0,1
389,2,2,1,2,2,1,0,2,1,0,1,1,3,0,0,1
390,1,1,2,3,0,0,0,0,1,0,0,1,3,0,1,0
391,1,2,1,1,2,0,0,0,1,1,1,1,3,0,0,1
392,1,2,1,1,0,0,0,2,1,0,1,0,5,1,0,1
393,1,2,2,2,0,1,0,1,1,0,1,0,1,0,0,0
394,1,1,2,4,2,0,0,1,0,1,1,1,2,0,1,1
395,2,2,1,4,2,1,0,0,1,0,1,1,2,0,0,1
396,1,3,2,0,0,1,1,2,1,0,1,0,4,1,0,1
397,1,2,2,0,0,0,0,0,1,1,1,1,1,0,0,1
398,2,2,1,0,2,1,0,2,1,0,1,0,1,0,1,0
399,1,2,2,3,2,0,0,1,1,1,1,1,2,0,0,1
400,2,1,1,3,2,0,0,1,0,0,1,1,3,1,0,0
401,2,2,1,1,2,1,0,1,1,0,1,0,3,1,0,0
402,1,2,2,0,0,1,0,1,1,0,0,1,4,0,0,1
403,2,2,2,3,0,1,0,1,1,1,1,1,1,0,1,1
404,1,1,2,4,2,0,1,1,1,0,1,1,1,0,0,0
405,2,1,1,2,2,0,0,1,0,0,0,1,1,0,0,1
406,1,2,2,3,0,1,0,0,1,0,1,1,3,0,0,0
